"","Item_Identifier","Item_Count","Outlet_Identifier","Outlet_Count","X","Item_Weight","Item_Fat_Content","Item_Visibility","Item_Type","Item_MRP","Outlet_Establishment_Year","Outlet_Size_High","Outlet_Size_Medium","Outlet_Size_Other","Outlet_Size_Small","Outlet_Location_Type_Tier 1","Outlet_Location_Type_Tier 2","Outlet_Location_Type_Tier 3","Outlet_Type_Grocery Store","Outlet_Type_Supermarket Type1","Outlet_Type_Supermarket Type2","Outlet_Type_Supermarket Type3","Item_Outlet_Sales","Outlet_Year","Item_Type_New_Drinks","Item_Type_New_Food","Item_Type_New_Non-Consumable"
"1","DRA12",9,"OUT049",1550,13605,11.6,0,0.041009558,"Soft Drinks",141.0154,1999,0,1,0,0,1,0,0,0,1,0,0,1,14,1,0,0
"2","DRA12",9,"OUT010",925,8044,11.6,0,0.068535039,"Soft Drinks",143.0154,1998,0,0,1,0,0,0,1,1,0,0,0,283.6308,15,1,0,0
"3","DRA12",9,"OUT017",1543,119,11.6,0,0.041177505,"Soft Drinks",140.3154,2007,0,0,1,0,0,1,0,0,1,0,0,2552.6772,6,1,0,0
"4","DRA12",9,"OUT027",1559,12436,12.6,0,0.040747616,"Soft Drinks",140.0154,1985,0,1,0,0,0,0,1,0,0,0,1,1,28,1,0,0
"5","DRA12",9,"OUT035",1550,1694,11.6,0,0.0540205365,"Soft Drinks",141.9154,2004,0,0,0,1,0,1,0,0,1,0,0,992.7078,9,1,0,0
"6","DRA12",9,"OUT046",1550,9024,11.6,0,0.040945898,"Soft Drinks",142.9154,1997,0,0,0,1,1,0,0,0,1,0,0,1,16,1,0,0
"7","DRA12",9,"OUT018",1546,7468,11.6,0,0.041112694,"Soft Drinks",142.0154,2009,0,1,0,0,0,0,1,0,0,1,0,850.8924,4,1,0,0
"8","DRA12",9,"OUT045",1548,1198,11.6,0,0.0540205365,"Soft Drinks",141.6154,2002,0,0,1,0,0,1,0,0,1,0,0,3829.0158,11,1,0,0
"9","DRA12",9,"OUT013",1553,1246,11.6,0,0.040911824,"Soft Drinks",142.3154,1987,1,0,0,0,0,0,1,0,1,0,0,2552.6772,26,1,0,0
"10","DRA24",10,"OUT019",880,2880,12.6,1,0.069909188,"Soft Drinks",163.2868,1985,0,0,0,1,1,0,0,1,0,0,0,491.3604,28,1,0,0
"11","DRA24",10,"OUT018",1546,11371,19.35,1,0.040090887,"Soft Drinks",163.6868,2009,0,1,0,0,0,0,1,0,0,1,0,1,4,1,0,0
"12","DRA24",10,"OUT010",925,4131,19.35,1,0.066831682,"Soft Drinks",163.8868,1998,0,0,1,0,0,0,1,1,0,0,0,327.5736,15,1,0,0
"13","DRA24",10,"OUT013",1553,8196,19.35,1,0.039895009,"Soft Drinks",162.4868,1987,1,0,0,0,0,0,1,0,1,0,0,4422.2436,26,1,0,0
"14","DRA24",10,"OUT046",1550,13062,19.35,1,0.039928237,"Soft Drinks",164.5868,1997,0,0,0,1,1,0,0,0,1,0,0,1,16,1,0,0
"15","DRA24",10,"OUT027",1559,4417,12.6,1,0.039734882,"Soft Drinks",165.7868,1985,0,1,0,0,0,0,1,0,0,0,1,4913.604,28,1,0,0
"16","DRA24",10,"OUT017",1543,1149,19.35,1,0.040154087,"Soft Drinks",164.6868,2007,0,0,1,0,0,1,0,0,1,0,0,1146.5076,6,1,0,0
"17","DRA24",10,"OUT035",1550,4901,19.35,1,0.039920687,"Soft Drinks",163.3868,2004,0,0,0,1,0,1,0,0,1,0,0,3439.5228,9,1,0,0
"18","DRA24",10,"OUT045",1548,9735,19.35,1,0.040009212,"Soft Drinks",163.2868,2002,0,0,1,0,0,1,0,0,1,0,0,1,11,1,0,0
"19","DRA24",10,"OUT049",1550,6864,19.35,1,0.039990314,"Soft Drinks",165.0868,1999,0,1,0,0,1,0,0,0,1,0,0,982.7208,14,1,0,0
"20","DRA59",10,"OUT046",1550,1877,8.27,1,0.127927931,"Soft Drinks",184.8924,1997,0,0,0,1,1,0,0,0,1,0,0,4442.2176,16,1,0,0
"21","DRA59",10,"OUT045",1548,12190,8.27,1,0.128187372,"Soft Drinks",184.3924,2002,0,0,1,0,0,1,0,0,1,0,0,1,11,1,0,0
"22","DRA59",10,"OUT017",1543,5610,8.27,1,0.0540205365,"Soft Drinks",183.2924,2007,0,0,1,0,0,1,0,0,1,0,0,2406.2012,6,1,0,0
"23","DRA59",10,"OUT049",1550,3928,8.27,1,0.128126825,"Soft Drinks",183.6924,1999,0,1,0,0,1,0,0,0,1,0,0,1295.6468,14,1,0,0
"24","DRA59",10,"OUT013",1553,3963,8.27,1,0.127821472,"Soft Drinks",185.9924,1987,1,0,0,0,0,0,1,0,1,0,0,555.2772,26,1,0,0
"25","DRA59",10,"OUT035",1550,12858,8.27,1,0.127903741,"Soft Drinks",183.9924,2004,0,0,0,1,0,1,0,0,1,0,0,1,9,1,0,0
"26","DRA59",10,"OUT019",880,6180,12.6,1,0.223985293,"Soft Drinks",186.2924,1985,0,0,0,1,1,0,0,1,0,0,0,555.2772,28,1,0,0
"27","DRA59",10,"OUT018",1546,6339,8.27,1,0.128449055,"Soft Drinks",186.5924,2009,0,1,0,0,0,0,1,0,0,1,0,4442.2176,4,1,0,0
"28","DRA59",10,"OUT010",925,8372,8.27,1,0.214125129,"Soft Drinks",183.9924,1998,0,0,1,0,0,0,1,1,0,0,0,185.0924,15,1,0,0
"29","DRA59",10,"OUT027",1559,6058,12.6,1,0.127308434,"Soft Drinks",186.6924,1985,0,1,0,0,0,0,1,0,0,0,1,7033.5112,28,1,0,0
"30","DRB01",8,"OUT019",880,8628,12.6,0,0.143990546,"Soft Drinks",191.553,1985,0,0,0,1,1,0,0,1,0,0,0,1,28,1,0,0
"31","DRB01",8,"OUT035",1550,13587,7.39,0,0.0540205365,"Soft Drinks",191.753,2004,0,0,0,1,0,1,0,0,1,0,0,1,9,1,0,0
"32","DRB01",8,"OUT049",1550,3466,7.39,0,0.082367244,"Soft Drinks",187.753,1999,0,1,0,0,1,0,0,0,1,0,0,1518.024,14,1,0,0
"33","DRB01",8,"OUT013",1553,3572,7.39,0,0.082170947,"Soft Drinks",190.953,1987,1,0,0,0,0,0,1,0,1,0,0,2466.789,26,1,0,0
"34","DRB01",8,"OUT017",1543,9767,7.39,0,0.082704564,"Soft Drinks",189.053,2007,0,0,1,0,0,1,0,0,1,0,0,1,6,1,0,0
"35","DRB01",8,"OUT027",1559,3734,12.6,0,0.081841136,"Soft Drinks",190.053,1985,0,1,0,0,0,0,1,0,0,0,1,569.259,28,1,0,0
"36","DRB01",8,"OUT046",1550,13009,7.39,0,0.082239384,"Soft Drinks",187.753,1997,0,0,0,1,1,0,0,0,1,0,0,1,16,1,0,0
"37","DRB01",8,"OUT018",1546,12097,7.39,0,0.082574393,"Soft Drinks",190.253,2009,0,1,0,0,0,0,1,0,0,1,0,1,4,1,0,0
"38","DRB13",9,"OUT013",1553,4136,6.115,1,0.007038478,"Soft Drinks",189.253,1987,1,0,0,0,0,0,1,0,1,0,0,3605.307,26,1,0,0
"39","DRB13",9,"OUT046",1550,13854,6.115,1,0.00704434,"Soft Drinks",189.053,1997,0,0,0,1,1,0,0,0,1,0,0,1,16,1,0,0
"40","DRB13",9,"OUT018",1546,12027,6.115,1,0.007073035,"Soft Drinks",189.753,2009,0,1,0,0,0,0,1,0,0,1,0,1,4,1,0,0
"41","DRB13",9,"OUT049",1550,6627,6.115,1,0.007055292,"Soft Drinks",188.653,1999,0,1,0,0,1,0,0,0,1,0,0,3605.307,14,1,0,0
"42","DRB13",9,"OUT035",1550,1837,6.115,1,0.007043008,"Soft Drinks",190.353,2004,0,0,0,1,0,1,0,0,1,0,0,569.259,9,1,0,0
"43","DRB13",9,"OUT010",925,2480,6.115,1,0.01179078,"Soft Drinks",189.053,1998,0,0,1,0,0,0,1,1,0,0,0,948.765,15,1,0,0
"44","DRB13",9,"OUT027",1559,12106,12.6,1,0.0540205365,"Soft Drinks",190.253,1985,0,1,0,0,0,0,1,0,0,0,1,1,28,1,0,0
"45","DRB13",9,"OUT017",1543,1432,6.115,1,0.007084185,"Soft Drinks",191.153,2007,0,0,1,0,0,1,0,0,1,0,0,3415.554,6,1,0,0
"46","DRB13",9,"OUT045",1548,11019,6.115,1,0.007058626,"Soft Drinks",190.653,2002,0,0,1,0,0,1,0,0,1,0,0,1,11,1,0,0
"47","DRB24",8,"OUT045",1548,7812,8.785,0,0.020618957,"Soft Drinks",153.0656,2002,0,0,1,0,0,1,0,0,1,0,0,4170.5712,11,1,0,0
"48","DRB24",8,"OUT027",1559,9654,12.6,0,0.020477579,"Soft Drinks",152.8656,1985,0,1,0,0,0,0,1,0,0,0,1,1,28,1,0,0
"49","DRB24",8,"OUT035",1550,6129,8.785,0,0.020573334,"Soft Drinks",156.4656,2004,0,0,0,1,0,1,0,0,1,0,0,2162.5184,9,1,0,0
"50","DRB24",8,"OUT049",1550,2658,8.785,0,0.020609218,"Soft Drinks",155.1656,1999,0,1,0,0,1,0,0,0,1,0,0,4016.1056,14,1,0,0
"51","DRB24",8,"OUT013",1553,12095,8.785,0,0.020560102,"Soft Drinks",155.5656,1987,1,0,0,0,0,0,1,0,1,0,0,1,26,1,0,0
"52","DRB24",8,"OUT017",1543,7620,8.785,0,0.020693619,"Soft Drinks",153.1656,2007,0,0,1,0,0,1,0,0,1,0,0,1853.5872,6,1,0,0
"53","DRB24",8,"OUT046",1550,9481,8.785,0,0.020577225,"Soft Drinks",154.2656,1997,0,0,0,1,1,0,0,0,1,0,0,1,16,1,0,0
"54","DRB24",8,"OUT018",1546,12818,8.785,0,0.020661048,"Soft Drinks",153.5656,2009,0,1,0,0,0,0,1,0,0,1,0,1,4,1,0,0
"55","DRB25",10,"OUT035",1550,777,12.3,0,0.069446588,"Soft Drinks",106.3938,2004,0,0,0,1,0,1,0,0,1,0,0,857.5504,9,1,0,0
"56","DRB25",10,"OUT049",1550,9226,12.3,0,0.069567714,"Soft Drinks",106.0938,1999,0,1,0,0,1,0,0,0,1,0,0,1,14,1,0,0
"57","DRB25",10,"OUT018",1546,6059,12.3,0,0.069742672,"Soft Drinks",106.2938,2009,0,1,0,0,0,0,1,0,0,1,0,1715.1008,4,1,0,0
"58","DRB25",10,"OUT010",925,8064,12.3,0,0.116261335,"Soft Drinks",107.0938,1998,0,0,1,0,0,0,1,1,0,0,0,214.3876,15,1,0,0
"59","DRB25",10,"OUT013",1553,3162,12.3,0,0.069401919,"Soft Drinks",107.9938,1987,1,0,0,0,0,0,1,0,1,0,0,2036.6822,26,1,0,0
